Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.2,2.2,4.5,1.5,Iris-versicolor
2,5,3.5,1.3,0.3,Iris-setosa
3,6.3,3.3,4.7,1.6,Iris-versicolor
4,6.1,2.9,4.7,1.4,Iris-versicolor
5,7.2,3,5.8,1.6,Iris-virginica
6,6.7,3,5,1.7,Iris-versicolor
7,6.2,2.8,4.8,1.8,Iris-virginica
8,4.4,3.2,1.3,0.2,Iris-setosa
9,5.8,2.7,4.1,1,Iris-versicolor
10,5.1,3.8,1.5,0.3,Iris-setosa
11,4.4,3,1.3,0.2,Iris-setosa
12,6.2,2.9,4.3,1.3,Iris-versicolor
13,5.6,3,4.5,1.5,Iris-versicolor
14,6.3,2.9,5.6,1.8,Iris-virginica
15,4.8,3.4,1.6,0.2,Iris-setosa
16,6.5,3,5.5,1.8,Iris-virginica
17,6.7,3.3,5.7,2.5,Iris-virginica
18,6,2.9,4.5,1.5,Iris-versicolor
19,7.2,3.6,6.1,2.5,Iris-virginica
20,6.9,3.1,4.9,1.5,Iris-versicolor
21,5.8,2.7,5.1,1.9,Iris-virginica
22,4.9,2.4,3.3,1,Iris-versicolor
23,5.9,3,4.2,1.5,Iris-versicolor
24,6.4,2.9,4.3,1.3,Iris-versicolor
25,6.8,3,5.5,2.1,Iris-virginica
26,5.5,2.3,4,1.3,Iris-versicolor
27,5.2,4.1,1.5,0.1,Iris-setosa
28,4.6,3.1,1.5,0.2,Iris-setosa
29,4.4,2.9,1.4,0.2,Iris-setosa
30,4.6,3.6,1,0.2,Iris-setosa
31,4.6,3.2,1.4,0.2,Iris-setosa
32,5,3.6,1.4,0.2,Iris-setosa
33,5.1,3.3,1.7,0.5,Iris-setosa
34,5.9,3.2,4.8,1.8,Iris-versicolor
35,5.8,2.8,5.1,2.4,Iris-virginica
36,6.7,3,5.2,2.3,Iris-virginica
37,7.3,2.9,6.3,1.8,Iris-virginica
38,6.5,3,5.2,2,Iris-virginica
39,7,3.2,4.7,1.4,
40,6.4,3.2,4.5,1.5,Iris-versicolor
41,5.7,2.9,4.2,1.3,Iris-versicolor
42,7.6,3,6.6,2.1,Iris-virginica
43,5,3.5,1.6,0.6,Iris-setosa
44,4.9,3.1,1.5,0.1,Iris-setosa
45,5.4,3.4,1.7,0.2,Iris-setosa
46,4.6,3.4,1.4,0.3,Iris-setosa
47,5.4,3.9,1.7,0.4,Iris-setosa
48,6.1,2.8,4,1.3,Iris-versicolor
49,6,3,4.8,1.8,Iris-virginica
50,4.8,3,1.4,0.1,Iris-setosa
51,6.3,2.5,5,1.9,Iris-virginica
52,5.6,2.8,4.9,2,Iris-virginica
53,6.9,3.2,5.7,2.3,Iris-virginica
54,6.3,3.3,6,2.5,
55,6.7,3.1,4.4,1.4,Iris-versicolor
56,5.7,3,4.2,1.2,Iris-versicolor
57,6.8,2.8,4.8,1.4,Iris-versicolor
58,7.9,3.8,6.4,2,Iris-virginica
59,6.3,2.7,4.9,1.8,Iris-virginica
60,5.6,2.5,3.9,1.1,Iris-versicolor
61,5.1,3.5,1.4,0.3,Iris-setosa
62,5.8,4,1.2,0.2,Iris-setosa
63,6.4,3.2,5.3,2.3,Iris-virginica
64,5.3,3.7,1.5,0.2,Iris-setosa
65,6,2.2,5,1.5,Iris-virginica
66,5.4,3.4,1.5,0.4,Iris-setosa
67,6.2,3.4,5.4,2.3,Iris-virginica
68,4.9,3,1.4,0.2,Iris-setosa
69,5.4,3,4.5,1.5,Iris-versicolor
70,4.8,3,1.4,0.3,Iris-setosa
71,6.3,2.8,5.1,1.5,Iris-virginica
72,6.4,3.1,5.5,1.8,Iris-virginica
73,6.1,2.8,4.7,1.2,Iris-versicolor
74,5.1,3.7,1.5,0.4,Iris-setosa
75,6.5,3.2,5.1,2,Iris-virginica
76,4.9,3.1,1.5,0.1,Iris-setosa
77,6.5,3,5.8,2.2,Iris-virginica
78,6.8,3.2,5.9,2.3,Iris-virginica
79,4.9,2.5,4.5,1.7,Iris-virginica
80,4.7,3.2,1.3,0.2,Iris-setosa
81,5.6,3,4.1,1.3,Iris-versicolor
82,5.1,3.4,1.5,0.2,Iris-setosa
83,6.4,2.8,5.6,2.2,Iris-virginica
84,7.7,3.8,6.7,2.2,Iris-virginica
85,5,3.2,1.2,0.2,Iris-setosa
86,7.2,3.2,6,1.8,Iris-virginica
87,5.7,3.8,1.7,0.3,Iris-setosa
88,5.2,3.5,1.5,0.2,Iris-setosa
89,6.1,2.6,5.6,1.4,Iris-virginica
90,5.5,2.5,4,1.3,Iris-versicolor
91,5.5,3.5,1.3,0.2,Iris-setosa
92,6.7,3.1,4.7,1.5,Iris-versicolor
93,6.6,2.9,4.6,1.3,Iris-versicolor
94,6.7,3.3,5.7,2.1,Iris-virginica
95,6.3,3.4,5.6,2.4,Iris-virginica
96,5.1,3.5,1.4,0.2,
97,5.1,3.8,1.6,0.2,Iris-setosa
98,6.9,3.1,5.1,2.3,Iris-virginica
99,5,3.3,1.4,0.2,Iris-setosa
100,4.3,3,1.1,0.1,Iris-setosa
101,7.1,3,5.9,2.1,Iris-virginica
102,5.5,2.4,3.7,1,Iris-versicolor
103,5.7,2.5,5,2,Iris-virginica
104,5.6,2.9,3.6,1.3,Iris-versicolor
105,5.1,3.8,1.9,0.4,Iris-setosa
106,4.8,3.4,1.9,0.2,Iris-setosa
107,6.4,2.8,5.6,2.1,Iris-virginica
108,6.4,2.7,5.3,1.9,Iris-virginica
109,4.9,3.1,1.5,0.1,Iris-setosa
110,5.9,3,5.1,1.8,Iris-virginica
111,5.6,2.7,4.2,1.3,Iris-versicolor
112,5.8,2.7,3.9,1.2,Iris-versicolor
113,5.5,2.4,3.8,1.1,Iris-versicolor
114,5,2,3.5,1,Iris-versicolor
115,5.5,4.2,1.4,0.2,Iris-setosa
116,5.8,2.7,5.1,1.9,Iris-virginica
117,5,3.4,1.5,0.2,Iris-setosa
118,5.1,2.5,3,1.1,Iris-versicolor
